LoggroID,Ingrediente,Categoria,Unidad,StockLoggro,EnAtolon
"685d98280d750d02fd84c4a0","Aceite de olivo","Producción BAR","Und",0,"Aceite de olivo"
"685d4d0577a74cafdee1c1ed","ACEITE DE TRUFA","Insumos cocina","Ml",0,"ACEITE DE TRUFA"
"68f191d35355626fe0fbba57","Agua con Gas Cristal","BEBIDAS","Und",0,"Agua con Gas Cristal"
"696c3300de439967b25aaef6","Agua Cristal 600ml","BEBIDAS","Und",0,"Agua Cristal 600ml"
"68f1914a5d0aa111639b4a0f","Agua Hatsu","BEBIDAS","Und",0,"Agua Hatsu"
"6a32b81c92cb750c6905d0c9","AGUA MALANTIAL CON GAS","BEBIDAS","Und",0,"AGUA MALANTIAL CON GAS"
"69efa34b1329cdfcd8034f4e","Agua Manantial 300ml","BEBIDAS","?",0,"Agua Manantial 300ml"
"696c336f59445a2af0524692","Agua Tonica 1976 Ocean","BEBIDAS","Und",0,"Agua Tonica 1976 Ocean"
"68750c284c711bfff511cbaf","Agua Tonica Bretaña 2.5L","BEBIDAS","Und",0,"Agua Tonica Bretaña 2.5L"
"696c3339de439967b25ce537","Agua Tonica Ocean","BEBIDAS","Und",0,"Agua Tonica Ocean"
"66908222e2fcf96bb0c34b48","aguacate hass","Insumos cocina","Gr",0,"aguacate hass"
"69fcd51d2e2dfc074a10ba8a","ahumentador de ph","Otros","?",0,"ahumentador de ph"
"66411509c33d858647eaf971","Ahuyama","PRODUCCION COCINA","Gr",0,"Ahuyama"
"685da90a87c59501a406c52d","Ají chile","Producción BAR","Kg",0,"Ají chile"
"66ede65347e187cb0e5e1037","ala de pollo","Insumos cocina","Kg",0,"ala de pollo"
"69fcd4452e845cd813e206ab","alguicida","Otros","?",0,"alguicida"
"6657b2de9ebba94105389cd6","ALITAS DE POLLO","COMEDOR STAFF","Kg",0,""
"6657b2de9ebba94105389cde","ALITAS DE POLLOI ALITAS BBQ","COMEDOR STAFF","Kg",0,""
"6657b2de9ebba94105389cdb","ALITAS DE POLLOI ALITAS FRITAS","COMEDOR STAFF","Kg",0,""
"687527150f8f3850d5d124a4","ALMENDRAS","PRODUCCION COCINA","Gr",0,"ALMENDRAS"
"68769c92f4e6f5e2a8d2ef8e","Amargo de angostura","Producción BAR","Ml",0,"Amargo de angostura"
"69f22b42833c39f610c341af","AMBIENTADOR","Otros","Und",0,"AMBIENTADOR"
"69f10b65a7ede170fa411d47","AREPAS COMEDOR","COMEDOR STAFF","?",0,""
"665759d09ebba94105943cd2","ARROZ COMEDOR","COMEDOR STAFF","Kg",0,""
"666394f85dc909228e2eb4bf","arroz jazmin","PRODUCCION COCINA","Und",0,""
"665724cbe11b0aea4af49436","arroz parbolizado","Insumos cocina","Gr",0,"arroz parbolizado"
"66411508c33d858647eaf89f","Avena Tonic","PRODUCCION COCINA","Gr",0,"Avena Tonic"
"685d8f74901357268c215cb9","Azucar","Producción BAR","Gr",0,"Azucar"
"687529f402031e4f08659ede","AZUCAR MORENA","Insumos cocina","Gr",0,"AZUCAR MORENA"
"6a550a5d170c7bdd73325913","Banana","Insumos cocina","Gr",0,"Banana"
"687572e214162a60cadc262d","Bara de canela","Producción BAR","Und",0,"Bara de canela"
"69f2598d4160f7fd33b4790c","BARRA DE CHOCOLATE SNIKERS 53 GR","Otros","?",0,"BARRA DE CHOCOLATE SNIKERS 53 GR"
"69f22a514e7c03f1db07b47a","bateria 2 A","Otros","Und",0,"bateria 2 A"
"69f22a62d33a9e5506b76607","bateria 3 A","Otros","Und",0,"bateria 3 A"
"6657641ff9d682860f6967f6","Berenjena","Insumos cocina","Gr",0,"Berenjena"
"66e1cdd63d2df65a23a21a28","blanqueador","Otros","Und",0,"blanqueador"
"69f236f72a0f0ad5370f64e4","BLOQUEARDOR  50P","Otros","Und",0,"BLOQUEARDOR  50P"
"66576e990a3b0e69cfeec0ba","BOFE","COMEDOR STAFF","Und",0,""
"669b0877768746728685a910","bollito muchacho","Insumos cocina","Kg",0,"bollito muchacho"
"69f22ac714ec8dafab29b139","bolsa papelera pequeña  43X48 CM","Otros","Und",0,"bolsa papelera pequeña  43X48 CM"
"66e1cbf25360b3781641c663","bolsas","Insumos cocina","Und",0,"bolsas"
"6a2efc5cad8265782123f1ef","BON AIRE SPRYA X3","Otros","Und",0,"BON AIRE SPRYA X3"
"69fb702c41c9a6cae9339bd3","bonaire-varitas-frutos-rojos-x-80-ml","Otros","Und",0,"bonaire-varitas-frutos-rojos-x-80-ml"
