Producto,Unidad,Stock Atolon,Stock Loggro,Diferencia,LoggroID
"LOMO FINO","Gr",47700,0,47700,696d15b433b916f54806e842
"papas francesas","Gr",44000,0,44000,6733a1ea81660e37bafb6cae
"harina de trigo","Gr",40600,0,40600,664926cce753dead0df65489
"Aceite Vegetal","ml",30000,0,30000,66411507c33d858647eaf833
"LANGOSTA","Gr",28650,0,28650,67632409e78f51d139a3f490
"QUESO CHEDDAR","Gr",19350,0,19350,666df979974be3d91b3195d8
"YUCA MCKAIN","Gr",19000,0,19000,6a32ad9576292d3b51ac017c
"Papa","Gr",18300,0,18300,66411509c33d858647eaf953
"pechuga de pollo","Gr",15000,0,15000,669059b1f6b8a330258c8c63
"Azucar","Gr",13900,0,13900,685d8f74901357268c215cb9
"Leche condensada","Gr",11700,0,11700,6657c822d2edf47f61ad2431
"Aceite de oliva","Ml",10600,0,10600,66491661a20e5b5ea9d1d8c8
"Vinagre 3000ML","Ml",10000,0,10000,6644e2ac8428e904c5bc9458
"CAMARON","Gr",10000,0,10000,66f60861c80f881826698e44
"GARBANZOS","Gr",8950,0,8950,665757cee11b0aea4a7eaaa0
"AZUCAR MORENA","Gr",8950,0,8950,687529f402031e4f08659ede
"Lychee el Fortin - 567g ","Und",8605,0,8605,69ea7575117b22e1d8f37a27
"Cereza marrasquino","Gr",8600,0,8600,685d95a097c12c42f3e65bb1
"MONDONGO","Gr",8470,0,8470,665766ca6dbb46800b4ebb93
"coco","Gr",8100,0,8100,664ba2d3461be0dbb2973fb8
"arroz parbolizado","Gr",8000,0,8000,665724cbe11b0aea4af49436
"Salsa de tomate","Gr",7200,0,7200,66411508c33d858647eaf875
"Mayonesa Fruco","Gr",7040,0,7040,66411508c33d858647eaf8bd
"pasta de tomate","Gr",6700,0,6700,664b5ff1f80bfd7a688b5c63
"Jugo de Tomate","Ml",6500,0,6500,68f19225ddc7366bc453b6cc
"Queso Mozarella Tajado","Gr",6100,0,6100,68f187665f35f933f498c9c0
"Jugo de naranja","Ml",6000,0,6000,6875796d8c400c83c525a28d
"PAPAYA","Gr",6000,0,6000,666dfe0e0b9718bd14a6df91
"Leche entera","Ml",6000,0,6000,6875d8a3abb213437f9108c4
"ACEITE DE GIRASOL","Ml",6000,0,6000,66a93d468571cbac6e05af71
