Categoria,Producto,Cantidad,Valor_COP
facturacion,"COCA COLA",128,1408000
facturacion,"CLUB COLOMBIA Cerveza",112,1680000
facturacion,"Agua Manantial 500ML",71,781000
facturacion,"Coca Cola Zero 330ml",69,759000
facturacion,"AGUA CRISTAL 600 ML",64,704000
facturacion,"PESCADO FRITO",59,3422000
facturacion,"CORONA",59,1062000
facturacion,"SODA PREMIUM MICHELADA",52,728000
facturacion,"MARGARITA",49,2695000
facturacion,"PIÑACOLADA",42,2310000
facturacion,"CAFE ESPRESSO",39,390000
facturacion,"CLUB COLOMBIA MICHELADA",38,684000
facturacion,"ENTRADA DE PATACONES",37,888000
facturacion,"AGUA MANANTIAL CON GAS 300ml",35,280000
facturacion,"APEROL SPRITZ",35,1925000
facturacion,"ATOLON BURGUER",33,1914000
facturacion,"CHICHARRON DE CERDO Y CROQUETAS DE YUCA",30,1155000
facturacion,"LIMONADA DE COCO",30,540000
facturacion,"ALOJAMIENTO PORCION FRUTA",29,29
facturacion,"SODA PREMIUM",28,308000
facturacion,"Agua Manantial 300 ml",28,224000
facturacion,"LIMONADA NATURAL",27,351000
facturacion,"CORONA MICHELADA",26,468000
facturacion,"COSTEÑITA",25,300000
facturacion,"STELLA ARTOIS",24,432000
facturacion,"FILETE DE PESCADO CON ARROZ CREMOSO",22,1430000
facturacion,"Quatro 400ML",21,231000
facturacion,"PIÑACOLADA S/A",21,630000
facturacion,"PAPAS A LA FRANCESA TRUFADAS TRUFADAS",20,360000
facturacion,"PIZZA PEPPERONI",19,912000
facturacion,"ARROZ CALDOSO DE MARISCOS",19,1862000
facturacion,"COMIDA DE STAFF",19,475000
facturacion,"MEZCALITA TIERRA BOMBA",18,990000
facturacion,"PALOMA",18,990000
facturacion,"BEBIDAS JUGO DE NARANJA",18,18
facturacion,"AGUILA LIGHT",17,255000
facturacion,"OLD FASHION",17,935000
facturacion,"PAPAS A LA FRANCESA TRUFADAS SIN TRUFAR",17,306000
facturacion,"CAFE AMERICANO",17,153000
facturacion,"JUGOS TROPICALES - MARACUYA",16,208000
