Categoria,Insumo,Unidad,Cantidad
facturacion,"Aceite Vegetal",ml,19600
facturacion,"Limon",Gr,17235
facturacion,"LECHE DE COCO",Ml,12850
facturacion,"papas francesas",Gr,9900
facturacion,"Filete de Tilapia",Gr,9750
facturacion,"Piña",Gr,7230
facturacion,"CAMARON",Gr,6920
facturacion,"Tomate",Gr,6170
facturacion,"TOCINO CARNUDO",Gr,6000
facturacion,"Leche deslactosada",ml,5040
facturacion,"pechuga de pollo",Gr,4800
facturacion,"Cebolla blanca",Gr,4790
facturacion,"salsa napolitana",Gr,4400
facturacion,"Crema de coco",Ml,3960
facturacion,"Fondo de pescado",Gr,3800
facturacion,"Patilla",Gr,3700
facturacion,"mejillones",Gr,3400
facturacion,"Melon",Gr,3400
facturacion,"Zumo de limon",Ml,3358
facturacion,"LANGOSTA",Gr,3200
facturacion,"PAPAYA",Gr,2900
facturacion,"Agua",Ml,2870
facturacion,"Cebolla Morada",Gr,2800
facturacion,"Suero Costeño",Gr,2670
facturacion,"masa de  yuca",Gr,2400
facturacion,"Leche condensada",Gr,2240
facturacion,"Arroz",Gr,2140
facturacion,"Lechuga Crespa Verde",Gr,2130
facturacion,"LOMO FINO",Gr,2100
facturacion,"Hielo",Gr,2009
facturacion,"LANGOSTINOS",Gr,2000
facturacion,"Ajii jalapenos",Gr,2000
facturacion,"Zanahoria",Gr,1670
facturacion,"Mantequilla",Gr,1630
facturacion,"mix de lechugas",Gr,1460
facturacion,"GARBANZOS",Gr,1400
facturacion,"Crema de leche",ml,1250
facturacion,"Hogao",Gr,1110
facturacion,"TUNA LOIN",Gr,1110
facturacion,"Leche de tigre",Gr,1100
facturacion,"PAPAS EN CASCOS",Gr,1100
facturacion,"Zumo de corozo",Ml,1035
facturacion,"Tocineta ahumada",Gr,990
facturacion,"CEBOLLA CARAMELIZADA",Kg,990
facturacion,"MAYONESA DE TRUFA",Kg,990
facturacion,"GUATILA",Gr,990
facturacion,"VINO BLANCO",Ml,970
facturacion,"QUESO MOZARRELA BLOQUE",Gr,965
facturacion,"Aceite de oliva",Ml,940
facturacion,"Ajo",Gr,825
facturacion,"repollo morado",Gr,810
facturacion,"Pepino Cohombro",Gr,750
facturacion,"Tomate Cherry",Gr,700
facturacion,"Naranjas Frutas",Gr,645
facturacion,"Cilantro",Gr,611
facturacion,"AGUACHILE  VERDE",Ml,600
facturacion,"Salsa de tomate",Gr,600
facturacion,"Mayonesa Fruco",Gr,600
facturacion,"fermento de ajo y cebolla",Ml,600
facturacion,"Queso Costeño",Gr,500
facturacion,"Queso Mozarella Tajado",Gr,495
facturacion,"Cereza marrasquino",Gr,335
facturacion,"AJI DULCE",Gr,305.5
facturacion,"aguacate",Gr,300
facturacion,"Hierba buena",Gr,260
facturacion,"Sal",Gr,222.9999999999998
facturacion,"TAHINI",Gr,210
facturacion,"ZUQUINI VERDE",Gr,200
facturacion,"ZUQUINI AMARILLO",Gr,200
facturacion,"Confitado de corozo",Gr,200
facturacion,"leche entera",Ml,200
facturacion,"jamon colanta",Gr,165
facturacion,"Pimenton rojo",Gr,160
facturacion,"Herbabuena gr",Gr,150
facturacion,"ESPARRAGO",Gr,150
facturacion,"Coca Cola Original Botella 400ml",Unidad,143
facturacion,"Pimenton verde",Gr,140
facturacion,"Jugo de naranja",Ml,133
facturacion,"CREMA DE AVELLANA",Gr,110
facturacion,"Lychee Fruta Lata",Gr,100
facturacion,"ARROZ DE COCO",Und,98
facturacion,"Syrup Simple",Oz,95.5
facturacion,"Paprika Badia",Gr,90
facturacion,"jamon serrano",Gr,90
facturacion,"VINAGRETA DE FINAS HIERVAS",Kg,90
facturacion,"Agua Manantial 500ml",Unidad,77
facturacion,"MANZANA VERDE",Gr,70
facturacion,"Coca Cola Zero 330ml",,69
facturacion,"AJI HABANERO",Gr,66
facturacion,"sierra en posta",Und,65
facturacion,"Soda Bretaña",Und,65
facturacion,"AGUA CRISTAL 600 ML",Und,64
facturacion,"Mojarra roja",Und,63
facturacion,"PATACON POCHOCHO",Und,59
facturacion,"Cerveza Corona",Unidad,59
facturacion,"sofrito",Gr,56
facturacion,"platanos",Und,50
facturacion,"Smirnoff OZ",Oz,46.66666666666
facturacion,"Cafe juan valdez capsula x 8",Und,41
facturacion,"Pimienta Badia",Gr,40.800000000000026
facturacion,"limonada natural",,38
facturacion,"GELATINA SIN SABOR",Gr,35
facturacion,"Hamburguesa Angus",Und,33
facturacion,"Pan hamburguesa",Und,33
facturacion,"HUEVOS",Und,33
facturacion,"limonada de coco",,32
facturacion,"buñuelos de yuca",Und,30
facturacion,"LECHUGA CRESPA MORADA",Gr,30
facturacion,"LECHUGA ROMANA",Gr,30
facturacion,"QUESO CABRA",Gr,30
facturacion,"Jugo de limon",Ml,30
facturacion,"queso crema",Gr,30
facturacion,"Espinacas",Gr,30
facturacion,"Salsa de soya",Ml,30
facturacion,"SEAWEED SALAD",Gr,30
facturacion,"chocolate corona",Gr,30
facturacion,"Agua Manantial 300 ml",,28
facturacion,"Cerveza Costeñita",Unidad,25
facturacion,"STELLA ARTOIS",,24
facturacion,"Quatro 400ML",,21
facturacion,"Pizza Pepperoni",,19
facturacion,"COMIDA DE STAFF",,19
facturacion,"brownie",Und,17
facturacion,"Cerveza Aguila Light",Unidad,17
facturacion,"CAFE AMERICANO",,17
facturacion,"Jengibre",Gr,16
facturacion,"Tonica INDI",,16
facturacion,"Jose Cuervo Reposado 750ml",Unidad,15.680000000000001
facturacion,"Soda Bretaña 300ml",Unidad,15.199999999999994
facturacion,"Cocolada",,15
facturacion,"Aceitunas",Gr,15
facturacion,"Infusion de chile jalapeño",Ml,15
facturacion,"ENSALADAS ENSALADA FRESCA",Und,14
facturacion,"pulpa de maracuya",Und,13.5
facturacion,"MANTEQUILLA PORCION",Und,11
facturacion,"jugo de corozo",,11
facturacion,"tortilla de maiz",Und,9.7
facturacion,"Syrup de gengibre",Oz,9
facturacion,"BASE DE COCTEL",,9
facturacion,"masa pizza",Und,8.5
facturacion,"limonada cerezada",,8
facturacion,"desechables",Und,8
facturacion,"ALMUERZO PERSONAL",,8
facturacion,"Dorado Highball",,8
facturacion,"Grey Goose 700ml OZ",Unidad,8
facturacion,"COCA COLA NORMAL DE 400ML",Unidad,8
facturacion,"HAMBURGUESA CON QUESO Y PAPAS + SODA",,8
facturacion,"Jugo de sandia",Ml,7
facturacion,"PESCADO EN POSTA + BEBIDA",,7
facturacion,"Ginebra Tanqueray Ten",Unidad,6.3999999999999995
facturacion,"Jugo de maracuya",Ml,6
facturacion,"AJONJOLY",Gr,6
facturacion,"bebidas hidratantes",Unidad,6
facturacion,"Jose Cuervo Blanco 750ml",Unidad,5.320000000000003
facturacion,"Redbull",,5
facturacion,"Ginger Canada Dry 300ml",Und,5
facturacion,"ACEITE DE AJO Y PEREJIL",Ml,5
facturacion,"AZUCAR MICRO",Gr,5
facturacion,"Licor Triple Sec 750ml",Unidad,4.640000000000003
facturacion,"Ron Viejo de Caldas Tradicional 750ml",Unidad,4.560000000000002
facturacion,"Espumoso Baron Rotberg 750ml",Unidad,4.200000000000001
facturacion,"Aguardiente Antioqueño Azul 750ml",Unidad,4.08
facturacion,"MASAJE 1 HRS",,4
facturacion,"PARGO ROJO",Und,4
facturacion,"Pizza Margarita",,4
facturacion,"Jugo de piña",Ml,4
facturacion,"Mini bar - Electrolic",,4
facturacion,"GALLETAS DUCALES (TACO)",Und,3.5
facturacion,"Don Julio Reposado 700ml",Unidad,3.371200000000001
facturacion,"PASTA TEMPURA",Kg,3.2499999999999987
facturacion,"Electrolit 625ml",,3
facturacion,"MASAJE 30 MNTS",,3
facturacion,"Coñac Hennessy VS Shot",,3
facturacion,"PANCAKES NUTELLA",,3
facturacion,"tocineta",,3
facturacion,"Moet Chandon Brut 750ml",Unidad,3
facturacion,"Aperol 750ml",Unidad,2.800000000000001
facturacion,"Vodka Smirnoff Red 700ml",Unidad,2.7852500000000013
facturacion,"Don Julio Blanco 700ml",Unidad,2.3428
facturacion,"Aguardiente Amarillo 750ml",Unidad,2
facturacion,"Aguardiente Antioqueño Verde 750ml",Unidad,2
facturacion,"ZACAPA 23 750 ML",Und,2
facturacion,"VINO TINTO RAMON BILBAO CRIANZA",Und,2
facturacion,"Patillazo",,2
facturacion,"Cerveza Heineken",Unidad,2
facturacion,"Tonica OCEAN",,2
facturacion,"Vodka Absolut 700ml",Unidad,2
facturacion,"BURRATA",Unidad,2
facturacion,"Kola Roman 400ml",,2
facturacion,"Quatro Botella 400ml",Unidad,2
facturacion,"Kola Roman Botella 400ml",Unidad,2
facturacion,"COCA CORA 0(CERO)",Unidad,2
facturacion,"Mini bar - Red bull",,2
facturacion,"Tequila Jimador Shot",,2
facturacion,"Ron Viejo de Caldas Blanco 750ml",Unidad,1.8800000000000003
facturacion,"Buchanan 12 - 750ml",Unidad,1.6400000000000001
facturacion,"Mezcal Union 700ml",Unidad,1.5426000000000006
facturacion,"Ginebra Gordons 700ml",Unidad,1.5426000000000004
facturacion,"Bulleit Bourbon 750ml",Unidad,1.3600000000000003
facturacion,"MAYONESA CHIPOTLE",Kg,1.2200000000000006
facturacion,"MASA DE CERDO",Kg,1.2
facturacion,"CEBOLLA ENCURTIDA",Kg,1.0500000000000005
facturacion,"Cinzano Splitz BT",,1
facturacion,"Coco Frio",,1
facturacion,"Chandon Extra Brut 750Ml BT",,1
facturacion,"Espumoso Chandon Rose 750ml",Unidad,1
facturacion,"Mezcal 400 Conejos 750ml",Unidad,1
facturacion,"otros servicio",,1
facturacion,"AROMATICA - TE INFUSION",,1
facturacion,"TRANSPORTE MARITIMO",,1
facturacion,"JARRA DE SANDIAA",,1
facturacion,"Baileys 700ml",Unidad,0.857
facturacion,"Ginebra Tanqueray Dry 700ml",Unidad,0.7713
facturacion,"Johnnie Walker Black Label 700ml",Unidad,0.6856
