Producto,Categoria,UnidadProducto,PrecioVenta,Fuente
"1800 SILVER","BOTELLAS","Und",0,"/ingredients"
"ACEITE DE GIRASOL","Insumos cocina","Ml",0,"/ingredients"
"Aceite de oliva","Insumos cocina","Ml",0,"/ingredients"
"Aceite de olivo","Producción BAR","Und",0,"/ingredients"
"ACEITE DE TRUFA","Insumos cocina","Ml",0,"/ingredients"
"Aceite Vegetal","Insumos cocina","ml",0,"/ingredients"
"Aceitunas","Producción BAR","Gr",0,"/ingredients"
"ADICION CHILAQUILES","DESAYUNOS INCLUIDOS","",0,"/products"
"ADICION DE SALSAS","COMPLEMENTOS Y ADICIONALES","",3000,"/products"
"Agua","PRODUCCION COCINA","Ml",0,"/ingredients"
"Agua con Gas Cristal","BEBIDAS","Und",0,"/ingredients"
"Agua Cristal 300ml","BEBIDAS","Und",0,"/ingredients"
"AGUA CRISTAL 600 ML","BEBIDAS","Und",0,"/ingredients"
"Agua Cristal 600ml","BEBIDAS","Und",0,"/ingredients"
"AGUA CRISTAL CON GAS","Producción BAR","Und",0,"/ingredients"
"Agua Hatsu","BEBIDAS","Und",0,"/ingredients"
"AGUA HATSU 300 ML","BEBIDAS","",10000,"/products"
"AGUA MALANTIAL CON GAS","BEBIDAS","Und",0,"/ingredients"
"Agua Manantial 300 ml","BEBIDAS","",8000,"/products"
"Agua Manantial 300ml","BEBIDAS","",0,"/ingredients"
"Agua Manantial 500ml","BEBIDAS","Unidad",0,"/ingredients"
"Agua Tonica 1976 India","BEBIDAS","Unidad",0,"/ingredients"
"Agua Tonica 1976 Ocean","BEBIDAS","Und",0,"/ingredients"
"Agua Tonica 1976 Pink","BEBIDAS","Unidad",0,"/ingredients"
"Agua Tonica Bretaña 2.5L","BEBIDAS","Unidad",0,"/ingredients"
"Agua Tonica Canada Dry 300ml","BEBIDAS","Unidad",0,"/ingredients"
"Agua Tonica Ocean","BEBIDAS","Und",0,"/ingredients"
"aguacate","Insumos cocina","Gr",0,"/ingredients"
"aguacate hass","Insumos cocina","Gr",0,"/ingredients"
"Aguardiente Amarillo 750ml","BOTELLAS","Unidad",0,"/ingredients"
"Aguardiente Antioqueño Azul 750ml","BOTELLAS","Unidad",0,"/ingredients"
"Aguardiente Antioqueño Real 750ml","BOTELLAS","Unidad",0,"/ingredients"
"Aguardiente Antioqueño Rojo 750ml","BOTELLAS","Unidad",0,"/ingredients"
"Aguardiente Antioqueño Verde 750ml","BOTELLAS","Unidad",0,"/ingredients"
"ahumentador de ph","Otros","",0,"/ingredients"
"Ahuyama","PRODUCCION COCINA","Gr",0,"/ingredients"
"Ají chile","Producción BAR","Kg",0,"/ingredients"
"AJI DULCE","Insumos cocina","Gr",0,"/ingredients"
"AJI HABANERO","PRODUCCION COCINA","Gr",0,"/ingredients"
"Ajii jalapenos","Insumos cocina","Gr",0,"/ingredients"
"Ajo","Insumos cocina","Gr",0,"/ingredients"
"AJO EN POLVO","Insumos cocina","Gr",0,"/ingredients"
"AJONJOLY","Insumos cocina","Gr",0,"/ingredients"
"ala de pollo","Insumos cocina","Kg",0,"/ingredients"
"Alas de Pollo","PRODUCCION COCINA","Kg",0,"/ingredients"
"Albahaca","PRODUCCION COCINA","Gr",0,"/ingredients"
"ALBAHACA","Insumos cocina","Gr",0,"/ingredients"
"alguicida","Otros","",0,"/ingredients"
"ALMENDRAS","PRODUCCION COCINA","Gr",0,"/ingredients"
"almuerzo definido","menu evento hoy","",0,"/products"
"ALMUERZO PERSONAL","COMPLEMENTOS Y ADICIONALES","",15000,"/products"
"AMARAS SHOT","SPIRITS & COGNACS","",0,"/products"
"Amargo de angostura","Producción BAR","Ml",0,"/ingredients"
"AMBIENTADOR","Otros","Und",0,"/ingredients"
"ANCHOAS","Insumos cocina","Gr",0,"/ingredients"
"Anis estrella","Insumos cocina","Gr",0,"/ingredients"
"ANIVERSARIO 750 ML","RON","Und",0,"/ingredients"
"ANIVERSARIO BT","BOTELLAS","",460000,"/products"
"Aperol 750ml","LICORES","Unidad",0,"/ingredients"
"Apio","PRODUCCION COCINA","Gr",0,"/ingredients"
"AREQUIPE","Insumos cocina","",0,"/products"
"AREQUIPE","Insumos cocina","Gr",0,"/ingredients"
"ARMAND BRIGNAC ACE BT","BOTELLAS","",9800000,"/products"
"AROMATICA - TE INFUSION","BEBIDA CALIENTES - HOT SOFT DRINKS","",10000,"/products"
"ARRACHERA","Insumos cocina","Gr",0,"/ingredients"
"Arroz","PRODUCCION COCINA","Gr",0,"/ingredients"
"arroz jazmin","Insumos cocina","Gr",0,"/ingredients"
"arroz parbolizado","Insumos cocina","Gr",0,"/ingredients"
"ARVEJA","Insumos cocina","Gr",0,"/ingredients"
"ATUN","Insumos cocina","Und",0,"/ingredients"
"Atún Poke Bowl","MENU FULL YATE","",52000,"/products"
"ATÚN POKE BOWL","MENU AFTER","",56000,"/products"
"Avena Tonic","PRODUCCION COCINA","Gr",0,"/ingredients"
"Azucar","Producción BAR","Gr",0,"/ingredients"
"Azucar Aro","Insumos cocina","Gr",0,"/ingredients"
"AZUCAR MICRO","Insumos cocina","Gr",0,"/ingredients"
"AZUCAR MORENA","Insumos cocina","Gr",0,"/ingredients"
"Baileys 700ml","LICORES","Unidad",0,"/ingredients"
"Banana","Insumos cocina","Gr",0,"/ingredients"
"Bara de canela","Producción BAR","Und",0,"/ingredients"
"BARON DE ROTHBERG  BRUT","VIP EXCLUSIVE MENU","",1,"/products"
"BARRA CEREAL TOSH","Minibar","",6000,"/products"
"BARRA DE CHOCOLATE SNIKERS 53 GR","Otros","",0,"/ingredients"
"BASE DE COCTEL","COCKTAILS / MIX","",20000,"/products"
"Bastones de Queso | Cheese Sticks","MENU ATOLON KIDS PASA DIA","",1,"/products"
"BATATA","PRODUCCION COCINA","Gr",0,"/ingredients"
"bateria 2 A","Otros","Und",0,"/ingredients"
"bateria 3 A","Otros","Und",0,"/ingredients"
"BAYLEYS BT","BOTELLAS","",290000,"/products"
"BEACH DAY","Otros","",320000,"/products"
"BEBIDA CENA","BODA","",8000,"/products"
"BEBIDAS","DESAYUNOS INCLUIDOS","",0,"/products"
"bebidas hidratantes","Otros","",100000,"/products"
"BEEFEATER LONDON BT","BOTELLAS","",450000,"/products"
"BEEFEATER PINK BT","BOTELLAS","",550000,"/products"
"BELVEREDE VODKA BT","BOTELLAS","",420000,"/products"
"Berenjena","Insumos cocina","Gr",0,"/ingredients"
"Bermut Martini Bianco 750ml","LICORES","Unidad",0,"/ingredients"
"Bermut Martini Rosso 750ml","LICORES","Unidad",0,"/ingredients"
"Bicarbonato Aro","Insumos cocina","Gr",0,"/ingredients"
"blanqueador","Otros","Unidad",0,"/ingredients"
"BLOQUEARDOR  50P","Otros","Und",0,"/ingredients"
"Bofe","Insumos cocina","Gr",0,"/ingredients"
"bola","Insumos cocina","Kg",0,"/ingredients"
