Producto,CantidadTotal,ExisteEnCatalogo,CategoriaLoggro,Facturacion,Cortesia,ConsumoInterno,Anulacion
"PESCADO FRITO VIP PASS PASADIA MOJARRA",119,NO,"",0,119,0,0
"CLUB COLOMBIA Cerveza",112,NO,"",112,0,0,0
"Coca Cola Zero 330ml",103,si,"BEBIDAS",69,9,15,10
"Agua Manantial 500ML",78,si,"BEBIDAS",71,1,5,1
"AGUA CRISTAL 600 ML",67,si,"BEBIDAS",64,0,0,3
"SODA PREMIUM MICHELADA",59,NO,"",52,4,1,2
"POSTA VIP PASS PASADIA SALSA CRIOLLA",59,NO,"",0,59,0,0
"Agua Manantial 300 ml",51,si,"BEBIDAS",28,14,9,0
"LIMONADA NATURAL",39,si,"Jugos",27,5,3,4
"CLUB COLOMBIA MICHELADA",39,NO,"",38,0,0,1
"BEBIDAS JUGO DE NARANJA",34,NO,"",18,16,0,0
"LIMONADA DE COCO",33,si,"Jugos",30,3,0,0
"Tonica INDI",33,si,"BEBIDAS",16,0,0,17
"PIZZA PEPPERONI",27,si,"MENU FULL YATE",19,0,5,3
"CORONA MICHELADA",27,NO,"",26,1,0,0
"JUGOS TROPICALES - MARACUYA",22,NO,"",16,4,1,1
"HUEVOS AL GUSTO JAMON Y QUESO",22,NO,"",14,7,1,0
"PAPAS A LA FRANCESA TRUFADAS SIN TRUFAR",22,NO,"",17,3,2,0
"PAPAS A LA FRANCESA TRUFADAS TRUFADAS",21,NO,"",20,0,1,0
"HUEVOS AL GUSTO CON TOMATE Y CEBOLLA",19,NO,"",16,3,0,0
"COMIDA DE STAFF",19,si,"COMPLEMENTOS Y ADICIONALES",19,0,0,0
"JUGOS TROPICALES - COROZO",17,NO,"",16,1,0,0
"CAFE AMERICANO",17,si,"BEBIDA CALIENTES - HOT SOFT DRINKS",17,0,0,0
"Cocolada",16,si,"COCKTAILS / MIX",15,1,0,0
"HUEVOS AL GUSTO HUEVOS REVUELTOS TOMATE Y CEBOLLA",16,NO,"",5,3,8,0
"JUGO DE NARANJA",16,si,"Producción BAR",13,1,1,1
"BROWNIE",15,si,"Insumos cocina",15,0,0,0
"limonada natural",14,si,"Jugos",11,0,3,0
"jugo de sandia",14,si,"Producción BAR",7,4,3,0
"ZUMO DE LIMON",13,si,"Producción BAR",13,0,0,0
"jugo de corozo",13,si,"Jugos",11,2,0,0
"LIMONADA CEREZADA",12,si,"Jugos",7,5,0,0
"HUEVOS AL GUSTO REVUELTOS",12,NO,"",8,4,0,0
"POSTA VIP PASS PASADIA SIERRA FRITA",12,NO,"",0,12,0,0
"HUEVOS AL GUSTO FRITOS",11,NO,"",5,6,0,0
"AGUILA LIGHT MICHELADA",10,NO,"",8,2,0,0
"GINGER ALE CANADA DRY",10,NO,"",10,0,0,0
"ENTRAÑA PAPAS A LA FRANCESA",10,NO,"",9,0,0,1
"BEBIDAS CAFE",10,NO,"",7,3,0,0
"STELLA ARTOIS MICHELADA",9,NO,"",9,0,0,0
"jugo de maracuya",9,si,"Producción BAR",6,2,1,0
"BASE DE COCTEL",9,si,"COCKTAILS / MIX",9,0,0,0
"BEBIDAS CAFE CON LECHE",9,NO,"",6,3,0,0
"ALMUERZO PERSONAL",8,si,"COMPLEMENTOS Y ADICIONALES",8,0,0,0
"SODA SABORIZADA SODA CEREZADA",8,NO,"",8,0,0,0
"CLUB COLOMBIA CON CLAMATO",8,NO,"",8,0,0,0
"Dorado Highball",8,si,"COCKTAILS / MIX",8,0,0,0
"HAMBURGUESA CON QUESO Y PAPAS + SODA",8,si,"Otros",8,0,0,0
"jugo de piña",7,si,"Producción BAR",4,1,0,2
"PESCADO FRITO VIP EXCLUSIVE MOJARRA",7,NO,"",0,7,0,0
"PESCADO EN POSTA + BEBIDA",7,si,"MENÚ STAFF",7,0,0,0
"CHILAQUILES CHILAQUILES CON HUEVOS",6,NO,"",3,2,1,0
"JUGOS TROPICALES - PIÑA",6,NO,"",4,0,1,1
"otros servicio",5,si,"Otros",1,0,0,4
"MEGA TRAVEL LIMONADA NATURAL",4,NO,"",0,4,0,0
"limonada de coco",4,si,"Jugos",2,1,0,1
"PANCAKES NUTELLA",4,si,"MENU FULL YATE",3,1,0,0
"MASAJE 1 HRS",4,si,"Otros",4,0,0,0
