Producto,Categoria,UnidadProducto,Ingrediente,CantidadReceta,UnidadIngrediente
"1800 AÑEJO BT","BOTELLAS","","Tequila 1800 Anejo - 750ml",1,""
"1800 AÑEJO SHOT","TEQUILA / MEZCAL","","Tequila 1800 Anejo - 750ml",0.08,""
"1800 CRISTALINO BT","BOTELLAS","","Tequila 1800 Cristalino 700ml",1,"Unidad"
"1800 CRISTALINO SHOT","TEQUILA / MEZCAL","","Tequila 1800 Cristalino 700ml",0.0857,"Unidad"
"1800 REPOSADO BT","BOTELLAS","","Tequila 1800 Reposado - 750ml",1,""
"1800 REPOSADO SHOT","TEQUILA / MEZCAL","","Tequila 1800 Reposado - 750ml",0.08,""
"1800 SILVER BT","BOTELLAS","","1800 SILVER",1,"Und"
"1800 SILVER SHOT","TEQUILA / MEZCAL","","1800 SILVER",0.08,"Und"
"ACEITE DE AJO Y PEREJIL","PRODUCCION COCINA","Ml","Aceite Vegetal",500,"ml"
"ACEITE DE AJO Y PEREJIL","PRODUCCION COCINA","Ml","Aceite de oliva",500,"Ml"
"ACEITE DE AJO Y PEREJIL","PRODUCCION COCINA","Ml","Ajo",200,"Gr"
"ACEITE DE AJO Y PEREJIL","PRODUCCION COCINA","Ml","perejil",200,"Gr"
"ACEITE DE AJO Y PEREJIL","PRODUCCION COCINA","Ml","Sal",5,"Gr"
"ACEITE DE AJO Y PEREJIL","PRODUCCION COCINA","Ml","Pimienta Badia",2,"Gr"
"ADEREZO CESAR","PRODUCCION COCINA","Gr","Huevos",2,"Und"
"ADEREZO CESAR","PRODUCCION COCINA","Gr","Limon",100,"Gr"
"ADEREZO CESAR","PRODUCCION COCINA","Gr","Sal",5,"Gr"
"ADEREZO CESAR","PRODUCCION COCINA","Gr","Mostaza",5,"Gr"
"ADEREZO CESAR","PRODUCCION COCINA","Gr","Pimienta Badia",2,"Gr"
"ADEREZO CESAR","PRODUCCION COCINA","Gr","Aceite Vegetal",1000,"ml"
"ADEREZO CESAR","PRODUCCION COCINA","Gr","ANCHOAS",120,"Gr"
"ADEREZO CESAR","PRODUCCION COCINA","Gr","Agua",200,"Ml"
"ADICION  LECHE DE COCO","MENU - DESAYUNOS","","LECHE DE COCO",60,"Ml"
"ADICION  LECHE DE SOYA","MENU - DESAYUNOS","","LECHE DE SOYA",60,"Ml"
"adicion calabacin","Insumos cocina","","ZUQUINI AMARILLO",30,"Gr"
"ADICION CARNE BURGUER","COMPLEMENTOS Y ADICIONALES","","Hamburguesa Angus",1,"Und"
"adición cebolla","Desayuno","","Cebolla blanca",50,"Gr"
