Clasificacion,Producto,Categoria,Cantidad,Valor
bebida,"COCA COLA","BEBIDAS",128,1408000
bebida,"CLUB COLOMBIA Cerveza","(sin categoria)",112,1680000
bebida,"Agua Manantial 500ML","BEBIDAS",71,781000
bebida,"Coca Cola Zero 330ml","BEBIDAS",69,759000
bebida,"AGUA CRISTAL 600 ML","BEBIDAS",64,704000
comida,"PESCADO FRITO","MENU FULL YATE",59,3422000
bebida,"CORONA","CERVEZAS",59,1062000
bebida,"SODA PREMIUM MICHELADA","(sin categoria)",52,728000
bebida,"MARGARITA","COCKTAILS / MIX",49,2695000
bebida,"PIÑACOLADA","COCKTAILS / MIX",42,2310000
bebida,"CAFE ESPRESSO","BEBIDA CALIENTES - HOT SOFT DRINKS",39,390000
bebida,"CLUB COLOMBIA MICHELADA","(sin categoria)",38,684000
comida,"ENTRADA DE PATACONES","ENTRADAS Y ENSALADAS",37,888000
bebida,"AGUA MANANTIAL CON GAS 300ml","BEBIDAS",35,280000
bebida,"APEROL SPRITZ","COCKTAILS / MIX",35,1925000
comida,"ATOLON BURGUER","VIP EXCLUSIVE MENU",33,1914000
comida,"CHICHARRON DE CERDO Y CROQUETAS DE YUCA","ENTRADAS Y ENSALADAS",30,1155000
bebida,"LIMONADA DE COCO","Jugos",30,540000
comida,"ALOJAMIENTO PORCION FRUTA","DESAYUNOS INCLUIDOS",29,29
bebida,"SODA PREMIUM","BEBIDAS",28,308000
bebida,"Agua Manantial 300 ml","BEBIDAS",28,224000
bebida,"LIMONADA NATURAL","Jugos",27,351000
bebida,"CORONA MICHELADA","(sin categoria)",26,468000
bebida,"COSTEÑITA","CERVEZAS",25,300000
bebida,"STELLA ARTOIS","CERVEZAS",24,432000
comida,"FILETE DE PESCADO CON ARROZ CREMOSO","PLATOS PRINCIPALES",22,1430000
bebida,"Quatro 400ML","BEBIDAS",21,231000
bebida,"PIÑACOLADA S/A","COCKTAILS / MIX",21,630000
comida,"PAPAS A LA FRANCESA TRUFADAS TRUFADAS","(sin categoria)",20,360000
comida,"PIZZA PEPPERONI","MENU FULL YATE",19,912000
comida,"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES",19,1862000
comida,"COMIDA DE STAFF","COMPLEMENTOS Y ADICIONALES",19,475000
bebida,"MEZCALITA TIERRA BOMBA","COCKTAILS / MIX",18,990000
bebida,"PALOMA","COCKTAILS / MIX",18,990000
bebida,"BEBIDAS JUGO DE NARANJA","(sin categoria)",18,18
bebida,"AGUILA LIGHT","CERVEZAS",17,255000
bebida,"OLD FASHION","COCKTAILS / MIX",17,935000
comida,"PAPAS A LA FRANCESA TRUFADAS SIN TRUFAR","(sin categoria)",17,306000
bebida,"CAFE AMERICANO","BEBIDA CALIENTES - HOT SOFT DRINKS",17,153000
bebida,"JUGOS TROPICALES - MARACUYA","(sin categoria)",16,208000
bebida,"Tonica INDI","BEBIDAS",16,320000
bebida,"JUGOS TROPICALES - COROZO","(sin categoria)",16,208000
bebida,"DON JULIO REPOSADO SHOT","TEQUILA / MEZCAL",16,1000000
comida,"HUEVOS AL GUSTO CON TOMATE Y CEBOLLA","(sin categoria)",16,16
comida,"BROWNIE","Insumos cocina",15,480000
bebida,"Cocolada","COCKTAILS / MIX",15,825000
comida,"ENCOCADO DE LANGOSTINO","PLATOS PRINCIPALES",15,982500
bebida,"MARGARITA DE MARACUYÁ","COCKTAILS / MIX",15,825000
bebida,"LONG ISLAND ICE TEA","COCKTAILS / MIX",15,825000
comida,"Adicion de suero","COMPLEMENTOS Y ADICIONALES",14,70000
comida,"HUEVOS AL GUSTO JAMON Y QUESO","(sin categoria)",14,14
bebida,"ZUMO DE LIMON","Producción BAR",13,52000
comida,"TACOS DE PESCADO","PIZZAS Y TACOS",13,624000
bebida,"JUGO DE NARANJA","Producción BAR",13,36009
comida,"SUPREMA DE POLLO","PLATOS PRINCIPALES",12,672000
bebida,"MOJITO","COCKTAILS / MIX",12,660000
comida,"COCTEL DE CAMARON","ENTRADAS Y ENSALADAS",12,720000
comida,"CEVICHE TIERRA BOMBA","ENTRADAS Y ENSALADAS",11,704000
bebida,"limonada natural","Jugos",11,143000
comida,"TACOS DE CAMARON","PIZZAS Y TACOS",11,572000
comida,"OMELET ATOLON","MENU - DESAYUNOS",11,105008
bebida,"jugo de corozo","Jugos",11,99000
bebida,"GINGER ALE CANADA DRY","(sin categoria)",10,110000
bebida,"MOSCOW MULE","COCKTAILS / MIX",9,495000
bebida,"STELLA ARTOIS MICHELADA","(sin categoria)",9,162000
bebida,"TANQUERAY LONDON SHOTS","VODKA / GIN",9,337500
comida,"ENTRAÑA PAPAS A LA FRANCESA","(sin categoria)",9,779400
