Clasificacion,Producto,Categoria,Cantidad,Valor
bebida,"Agua Manantial 500ML","BEBIDAS",366,4026000
bebida,"STELLA ARTOIS","CERVEZAS",252,4536000
bebida,"CLUB COLOMBIA Cerveza","(sin categoria)",190,2850000
bebida,"CORONA","CERVEZAS",171,3078000
comida,"ALOJAMIENTO PORCION FRUTA","DESAYUNOS INCLUIDOS",158,158
bebida,"PIÑACOLADA","COCKTAILS / MIX",150,8250000
bebida,"COCA COLA","BEBIDAS",146,1606000
comida,"AREPA DE HUEVO","MENU - DESAYUNOS",143,2145000
bebida,"Coca Cola Zero 330ml","BEBIDAS",105,1155000
bebida,"BEBIDAS JUGO DE NARANJA","(sin categoria)",89,89
bebida,"AGUILA LIGHT","CERVEZAS",89,1161000
comida,"ATOLON BURGUER","VIP EXCLUSIVE MENU",84,4756002
comida,"CHICHARRON DE CERDO Y CROQUETAS DE YUCA","ENTRADAS Y ENSALADAS",75,2887500
comida,"PESCADO FRITO","MENU FULL YATE",69,4002000
bebida,"LIMONADA NATURAL","Jugos",69,897000
bebida,"JUGOS TROPICALES - PIÑA","(sin categoria)",69,669000
bebida,"BEBIDAS CAFE","(sin categoria)",62,62
bebida,"Cocolada","COCKTAILS / MIX",61,3355000
comida,"PIE DE LIMON VIP PASS PASADIA","VIP PASS MENU",59,59
bebida,"SODA PREMIUM","BEBIDAS",57,627000
comida,"SUPREMA DE POLLO","PLATOS PRINCIPALES",57,3192000
comida,"ENTRADA DE PATACONES","ENTRADAS Y ENSALADAS",53,1272000
bebida,"SODA PREMIUM MICHELADA","(sin categoria)",51,714000
bebida,"MARGARITA","COCKTAILS / MIX",50,2750000
comida,"HUEVOS AL GUSTO JAMON Y QUESO","(sin categoria)",49,49
bebida,"PIÑACOLADA S/A","COCKTAILS / MIX",48,1440000
comida,"HUEVOS AL GUSTO REVUELTOS","(sin categoria)",48,48
bebida,"APEROL SPRITZ","COCKTAILS / MIX",47,2585000
bebida,"BEBIDAS CAFE CON LECHE","(sin categoria)",47,47
bebida,"JUGOS TROPICALES - MARACUYA","(sin categoria)",45,489000
bebida,"LIMONADA DE COCO","Jugos",45,810000
comida,"VIP PASS","COMPLEMENTOS Y ADICIONALES",44,2640000
comida,"HUEVOS AL GUSTO CON TOMATE Y CEBOLLA","(sin categoria)",42,42
comida,"OMELET ATOLON","MENU - DESAYUNOS",41,140037
bebida,"JUGO DE NARANJA","Producción BAR",39,18037
bebida,"AGUARDIENTE ANTIOQUEÑO AZUL BT","BOTELLAS",38,10070000
bebida,"PALOMA","COCKTAILS / MIX",37,2035000
comida,"HUEVOS AL GUSTO FRITOS","(sin categoria)",36,36
comida,"PESCADO FRITO VIP PASS PASADIA MOJARRA","(sin categoria)",35,35
comida,"TACOS DE CAMARON","PIZZAS Y TACOS",34,1768000
bebida,"Agua Manantial 300 ml","BEBIDAS",32,256000
